,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
4599,6.437,91,en,Comedy,1988,Summer,PG,118084047.6,65216940.36
4600,6.761,107,en,"Music, Comedy, Drama",2015,Spring,R,14577057.72,13452742.11
4601,6.2,145,ru,"Fantasy, Action, Adventure, Horror, Thriller",2006,Winter,R,68046326.08,6659001.513
4602,6.235,100,en,"Comedy, Romance",1998,Summer,PG-13,49815697.5,19455445.54
4603,7.485,114,en,"Family, Adventure, Drama",2008,Fall,PG-13,56757325.13,16384309.27
4604,6.512,85,en,"Horror, Science Fiction",1986,Fall,R,3617321.168,12908759.12
4606,5.541,97,en,"Action, Adventure, Crime, Drama, Thriller",2004,Winter,R,69525524.75,84881209.5
4607,5.558,90,en,"Comedy, Crime, Romance",2001,Winter,PG-13,34746620.75,39501998.86
4610,6.206,92,en,Comedy,1997,Spring,R,57772438.61,39522313.01
4611,6,100,en,"Comedy, Romance",2014,Winter,R,65863146.81,16800902.89
4612,5.261,102,en,"Romance, Drama",2012,Spring,R,11517196.12,12483621.2
4614,6.055,91,en,"Horror, Fantasy, Thriller",1992,Spring,R,69493015.84,34149167.27
4615,6.827,103,en,"Comedy, Crime",1976,Winter,PG,191315798.5,33928057.55
4616,6.389,93,en,Comedy,2013,Summer,R,4046598.874,1365294.424
4617,6.4,109,en,"Comedy, Drama, Romance",1997,Winter,PG-13,82996857.32,39522313.01
4618,5.888,104,en,Comedy,2019,Spring,PG-13,93363386.49,24980930.59
4620,5.993,108,en,"Action, Crime, Drama",2001,Winter,PG-13,32671043.88,53866362.08
4621,6.5,96,en,Action,2003,Fall,R,508146.1882,29415520.09
4622,6.071,94,en,"Action, Crime",1990,Fall,R,113629194.3,29613814.76
4625,6.029,108,en,"Adventure, Fantasy, Action, Thriller, Science Fiction",1994,Summer,PG-13,103359397.8,53761969.9
4626,5.943,110,en,"Horror, Mystery, Thriller",1997,Winter,R,67102184.51,118566939
4627,5.279,85,en,Horror,1990,Winter,R,137619251.9,4935635.793
4628,7.102,98,en,"Drama, Crime",1989,Fall,R,12278350.69,6490503.716
4629,7.3,88,en,"Animation, Adventure, Family, Western",2021,Spring,PG,21196074.64,36057526.89
4632,6.413,87,en,"Adventure, Animation, Comedy, Family",2006,Winter,G,110721461.6,79273827.53
4633,7.307,90,ja,"Animation, Family, Science Fiction, Fantasy",2014,Summer,G,111640195.9,47042528.09
4634,5.352,100,en,Horror,1992,Summer,R,38912869.1,18212889.21
4635,5.667,102,en,"Comedy, Romance",1990,Spring,PG-13,97242540.49,61695447.41
4636,5.462,95,en,"Action, Crime, Thriller",2016,Summer,R,515943.4635,6635263.131
4637,6.166,103,en,"Action, Adventure, Drama",2010,Summer,R,23947684.35,39175400.46
4638,5.683,108,en,"Comedy, Science Fiction",1988,Winter,PG-13,37646478.82,54347450.3
4639,5.849,108,en,"Comedy, Drama",2015,Fall,R,9419961.141,37667677.9
4640,7.207,88,en,Comedy,1971,Fall,PG,55296.48241,789949.7487
4641,5.217,86,en,"Horror, Science Fiction",1996,Spring,R,33954792.75,8145077.72
4642,6.025,135,en,"Comedy, Romance",1996,Summer,R,109662451.2,91632124.35
4643,7.2,106,en,"Comedy, Family, Music",2022,Fall,PG,111805281.3,53706867.1
4644,6.283,82,en,"Comedy, Horror, Science Fiction",1984,Spring,R,2468302.257,1465554.465
4645,7.59,140,en,"Drama, Romance",1987,Summer,R,6893909.871,7351079.137
4647,5.815,93,en,"Comedy, Crime, Drama",2013,Fall,R,714746.6493,9557060.969
4648,6.681,132,en,"Action, Drama, History",1984,Spring,PG,26575784.62,77134445.53
4650,6.613,108,en,"Crime, Drama, Thriller",2007,Fall,PG-13,10592434.16,31064737.97
